Id,WnvPresent
1,0.03
2,0.02
3,0.01
4,0.02
5,0.02
6,0.02
7,0.02
8,0.02
9,0.02
10,0.03
11,0.02
12,0.03
13,0.03
14,0.03
15,0.03
16,0.03
17,0.03
18,0.02
19,0.03
20,0.03
21,0.03
22,0.03
23,0.03
24,0.03
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.01
58,0.01
59,0.0
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.01
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.02
114,0.03
115,0.02
116,0.03
117,0.03
118,0.03
119,0.03
120,0.03
121,0.01
122,0.01
123,0.0
124,0.01
125,0.01
126,0.01
127,0.01
128,0.01
129,0.01
130,0.01
131,0.0
132,0.01
133,0.01
134,0.01
135,0.01
136,0.01
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.03
146,0.02
147,0.01
148,0.02
149,0.02
150,0.02
151,0.02
152,0.02
153,0.03
154,0.02
155,0.01
156,0.02
157,0.02
158,0.02
159,0.02
160,0.02
161,0.03
162,0.02
163,0.01
164,0.02
165,0.02
166,0.02
167,0.02
168,0.02
169,0.01
170,0.01
171,0.0
172,0.01
173,0.01
174,0.01
175,0.01
176,0.01
177,0.02
178,0.03
179,0.02
180,0.03
181,0.03
182,0.03
183,0.03
184,0.03
185,0.01
186,0.01
187,0.0
188,0.01
189,0.01
190,0.01
191,0.01
192,0.01
193,0.01
194,0.01
195,0.0
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.01
202,0.01
203,0.0
204,0.01
205,0.01
206,0.01
207,0.01
208,0.01
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.02
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.01
242,0.01
243,0.0
244,0.01
245,0.01
246,0.01
247,0.01
248,0.01
249,0.02
250,0.02
251,0.01
252,0.02
253,0.02
254,0.02
255,0.02
256,0.02
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.01
266,0.01
267,0.0
268,0.01
269,0.01
270,0.01
271,0.01
272,0.01
273,0.01
274,0.01
275,0.0
276,0.01
277,0.01
278,0.01
279,0.01
280,0.01
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.01
298,0.01
299,0.0
300,0.01
301,0.01
302,0.01
303,0.01
304,0.01
305,0.01
306,0.01
307,0.0
308,0.01
309,0.01
310,0.01
311,0.01
312,0.01
313,0.01
314,0.01
315,0.0
316,0.01
317,0.01
318,0.01
319,0.01
320,0.01
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.01
338,0.01
339,0.0
340,0.01
341,0.01
342,0.01
343,0.01
344,0.01
345,0.01
346,0.01
347,0.0
348,0.01
349,0.01
350,0.01
351,0.01
352,0.01
353,0.01
354,0.01
355,0.0
356,0.01
357,0.01
358,0.01
359,0.01
360,0.01
361,0.02
362,0.03
363,0.02
364,0.03
365,0.03
366,0.03
367,0.03
368,0.03
369,0.02
370,0.03
371,0.02
372,0.03
373,0.03
374,0.03
375,0.03
376,0.03
377,0.02
378,0.03
379,0.02
380,0.03
381,0.03
382,0.03
383,0.03
384,0.03
385,0.02
386,0.03
387,0.02
388,0.03
389,0.03
390,0.03
391,0.03
392,0.03
393,0.01
394,0.01
395,0.0
396,0.01
397,0.01
398,0.01
399,0.01
400,0.01
401,0.01
402,0.01
403,0.0
404,0.01
405,0.01
406,0.01
407,0.01
408,0.01
409,0.01
410,0.01
411,0.0
412,0.01
413,0.01
414,0.01
415,0.01
416,0.01
417,0.01
418,0.01
419,0.0
420,0.01
421,0.01
422,0.01
423,0.01
424,0.01
425,0.01
426,0.01
427,0.0
428,0.01
429,0.01
430,0.01
431,0.01
432,0.01
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.01
450,0.01
451,0.0
452,0.01
453,0.01
454,0.01
455,0.01
456,0.01
457,0.0
458,0.0
459,0.01
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.01
474,0.01
475,0.0
476,0.01
477,0.01
478,0.01
479,0.01
480,0.01
481,0.02
482,0.03
483,0.02
484,0.03
485,0.03
486,0.03
487,0.03
488,0.03
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.01
498,0.01
499,0.0
500,0.01
501,0.01
502,0.01
503,0.01
504,0.01
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.02
514,0.02
515,0.01
516,0.02
517,0.02
518,0.02
519,0.02
520,0.02
521,0.01
522,0.01
523,0.0
524,0.01
525,0.01
526,0.01
527,0.01
528,0.01
529,0.01
530,0.01
531,0.0
532,0.01
533,0.01
534,0.01
535,0.01
536,0.01
537,0.02
538,0.02
539,0.01
540,0.02
541,0.02
542,0.02
543,0.02
544,0.02
545,0.01
546,0.01
547,0.0
548,0.01
549,0.01
550,0.01
551,0.01
552,0.01
553,0.01
554,0.01
555,0.0
556,0.01
557,0.01
558,0.01
559,0.01
560,0.01
561,0.01
562,0.01
563,0.0
564,0.01
565,0.01
566,0.01
567,0.01
568,0.01
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.01
578,0.01
579,0.0
580,0.01
581,0.01
582,0.01
583,0.01
584,0.01
585,0.01
586,0.01
587,0.0
588,0.01
589,0.01
590,0.01
591,0.01
592,0.01
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.01
610,0.01
611,0.0
612,0.01
613,0.01
614,0.01
615,0.01
616,0.01
617,0.01
618,0.01
619,0.0
620,0.01
621,0.01
622,0.01
623,0.01
624,0.01
625,0.01
626,0.01
627,0.0
628,0.01
629,0.01
630,0.01
631,0.01
632,0.01
633,0.01
634,0.01
635,0.0
636,0.01
637,0.01
638,0.01
639,0.01
640,0.01
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.01
650,0.01
651,0.0
652,0.01
653,0.01
654,0.01
655,0.01
656,0.01
657,0.01
658,0.01
659,0.0
660,0.01
661,0.01
662,0.01
663,0.01
664,0.01
665,0.0
666,0.0
667,0.01
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.01
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.01
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.01
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.01
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.01
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.01
746,0.01
747,0.0
748,0.01
749,0.01
750,0.01
751,0.01
752,0.01
753,0.01
754,0.01
755,0.0
756,0.01
757,0.01
758,0.01
759,0.01
760,0.01
761,0.01
762,0.01
763,0.0
764,0.01
765,0.01
766,0.01
767,0.01
768,0.01
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.01
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.07
818,0.0
819,0.01
820,0.02
821,0.02
822,0.02
823,0.02
824,0.02
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.01
842,0.01
843,0.0
844,0.01
845,0.01
846,0.01
847,0.01
848,0.01
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.02
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.07
874,0.0
875,0.01
876,0.02
877,0.02
878,0.02
879,0.02
880,0.02
881,0.0
882,0.0
883,0.01
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.01
898,0.01
899,0.0
900,0.01
901,0.01
902,0.01
903,0.01
904,0.01
905,0.01
906,0.01
907,0.0
908,0.01
909,0.01
910,0.01
911,0.01
912,0.01
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.02
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.03
930,0.02
931,0.02
932,0.03
933,0.03
934,0.03
935,0.03
936,0.03
937,0.01
938,0.0
939,0.01
940,0.01
941,0.01
942,0.01
943,0.01
944,0.01
945,0.01
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.02
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.01
1002,0.01
1003,0.0
1004,0.01
1005,0.01
1006,0.01
1007,0.01
1008,0.01
1009,0.01
1010,0.01
1011,0.0
1012,0.01
1013,0.01
1014,0.01
1015,0.01
1016,0.01
1017,0.01
1018,0.01
1019,0.0
1020,0.01
1021,0.01
1022,0.01
1023,0.01
1024,0.01
1025,0.01
1026,0.01
1027,0.0
1028,0.01
1029,0.01
1030,0.01
1031,0.01
1032,0.01
1033,0.03
1034,0.02
1035,0.01
1036,0.02
1037,0.02
1038,0.02
1039,0.02
1040,0.02
1041,0.01
1042,0.01
1043,0.0
1044,0.01
1045,0.01
1046,0.01
1047,0.01
1048,0.01
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.01
